Address,Employment_Status,Rent_vs_Own,Household_Size,Average_Age_of_Residents,Median_Household_Income
93 Willow Heights,Retired,Own,1,46,26385.15963
64 Blossom Rise,Part-Time,Rent,2,27,29321.14941
116 Faculty Court,Unemployed,Rent,6,46,8384.967461
71 Oak Lane,Part-Time,Rent,6,37,30739.12347
172 Library Lane,Retired,Own,1,57,20650.05165
172 Cedar Crescent,Full-Time,Rent,3,39,51942.88242
23 Willow Heights,Part-Time,Rent,5,29,34071.15559
150 College Road,Unemployed,Rent,1,35,8622.613818
155 Cathedral Row,Part-Time,Own,3,58,31155.09325
121 Dean’s View,Unemployed,Rent,5,54,8235.632809
72 Campus Avenue,Part-Time,Rent,5,27,27253.93091
10 Varsity Place,Unemployed,Rent,5,25,8503.423264
50 George Square,Full-Time,Rent,6,53,40497.05311
156 Merchant Street,Full-Time,Own,6,46,56909.28155
29 Rosehip Road,Full-Time,Own,6,54,48198.91664
18 Chancellor Road,Unemployed,Rent,3,56,8605.401289
36 The Green,Full-Time,Own,4,58,52705.00827
35 Study Mews,Part-Time,Own,4,35,34815.78434
91 Mill Street,Full-Time,Own,6,32,50030.87266
40 Dean’s View,Unemployed,Rent,1,39,11317.24964
79 Town Gate,Full-Time,Rent,4,38,56853.19903
27 Ivy Boulevard,Part-Time,Own,3,53,33004.26326
194 Cobbler’s Alley,Part-Time,Rent,1,33,27300.44015
197 Exam Square,Full-Time,Own,1,44,49355.78409
36 Bell Tower Street,Part-Time,Own,6,39,25745.00787
139 High Street,Full-Time,Own,1,35,58406.19556
137 Seminar Terrace,Unemployed,Rent,2,58,10633.522
19 Alumni Grove,Full-Time,Rent,3,55,40112.53515
168 Freshers Row,Unemployed,Rent,6,53,11199.24704
5 Bell Tower Street,Full-Time,Rent,3,49,40291.07593
187 Cross Keys Way,Full-Time,Own,4,35,52245.75396
197 Crown Street,Full-Time,Own,4,26,48800.21998
199 Faculty Court,Unemployed,Rent,3,32,8833.859602
91 Primrose Avenue,Part-Time,Rent,2,26,33050.7966
151 Birch Grove,Full-Time,Own,5,26,59972.36336
152 Campus Avenue,Retired,Rent,1,32,27030.9734
37 Lecture Hall Lane,Full-Time,Own,2,55,56152.10043
53 Market Lane,Full-Time,Rent,2,57,58256.1987
71 Market Cross Road,Full-Time,Rent,4,48,48827.26825
53 Research Boulevard,Full-Time,Own,2,49,52767.72809
106 Lavender Park,Full-Time,Rent,4,25,50637.03092
23 Abbey Lane,Full-Time,Rent,4,50,46326.23941
172 Bell Tower Street,Full-Time,Own,6,45,41286.06749
19 Seminar Terrace,Unemployed,Rent,1,47,11430.96749
156 Prince’s Gate,Full-Time,Rent,6,27,42042.95144
90 Campus Avenue,Full-Time,Rent,2,29,51251.91617
117 Faculty Court,Full-Time,Own,2,53,40630.03821
77 Mill Street,Full-Time,Own,2,51,50714.0066
190 Castle Lane,Full-Time,Own,6,52,41136.67701
163 Market Lane,Part-Time,Own,3,38,32494.50594
77 Library Lane,Part-Time,Own,5,30,31119.77847
74 Graduation Way,Full-Time,Rent,5,38,54367.98046
11 King Street,Full-Time,Rent,3,43,51320.84932
34 Silverleaf Way,Part-Time,Rent,6,25,32944.21928
177 Campus Avenue,Unemployed,Rent,6,53,9465.943697
168 Primrose Avenue,Full-Time,Own,2,31,46551.8803
196 Research Boulevard,Full-Time,Own,4,44,49881.99662
12 College Crescent,Part-Time,Own,3,34,30055.40512
85 Bridge Street,Full-Time,Rent,4,30,46780.76476
177 Chancellor Road,Unemployed,Rent,3,37,9982.4266
159 Castle Lane,Full-Time,Own,2,37,44241.65491
144 Scholar’s Walk,Unemployed,Rent,6,32,10605.64147
99 Butcher’s Row,Full-Time,Own,6,55,59435.20703
148 Dean’s View,Part-Time,Rent,2,41,31257.30736
155 Varsity Place,Full-Time,Rent,3,46,49497.75831
99 Parliament Street,Full-Time,Rent,2,42,58098.74671
143 Old Forge Lane,Part-Time,Own,1,29,31905.65359
118 Graduation Way,Full-Time,Own,3,33,45943.0196
10 Cedar Crescent,Full-Time,Own,2,41,52411.43304
125 Chapel Walk,Part-Time,Rent,4,30,32949.11036
131 Butcher’s Row,Full-Time,Own,5,29,55419.8557
80 Bell Tower Street,Part-Time,Rent,5,55,24094.91447
115 Albert Walk,Full-Time,Own,2,27,55302.83949
165 Oak Lane,Part-Time,Rent,4,42,33590.84693
56 Prince’s Gate,Part-Time,Own,4,43,26100.51466
46 Freshers Row,Full-Time,Own,5,38,57019.79563
118 Horizon Close,Full-Time,Own,6,43,54244.09687
186 Merchant Street,Full-Time,Own,6,42,52392.01074
2 Butcher’s Row,Full-Time,Own,1,28,55384.14075
66 Lavender Park,Full-Time,Own,1,27,45061.26499
60 Cross Keys Way,Retired,Own,1,38,21542.56838
50 Alumni Grove,Retired,Own,1,44,20690.86133
192 Poppy Crescent,Full-Time,Own,4,39,48649.89591
166 Exam Square,Full-Time,Own,5,52,50127.07792
158 Academic Crescent,Retired,Own,2,36,21035.82833
28 Academic Crescent,Part-Time,Rent,2,27,28786.56998
92 Aspen Gardens,Full-Time,Own,3,29,45220.19199
71 Seminar Terrace,Full-Time,Own,1,38,57693.447
193 Station Road,Part-Time,Rent,4,41,30870.52325
80 Queen Avenue,Full-Time,Own,3,32,43493.30829
28 Campus Avenue,Full-Time,Own,4,37,49703.1759
157 Town Gate,Full-Time,Rent,6,32,40827.47236
66 Campus Avenue,Full-Time,Own,2,37,48980.23546
56 Scholar’s Walk,Full-Time,Own,3,41,58030.16999
97 Stable Mews,Full-Time,Rent,5,49,50392.59375
99 Horizon Close,Retired,Rent,2,35,22161.43371
168 Exam Square,Unemployed,Rent,1,58,11668.09357
161 Study Mews,Full-Time,Own,4,53,58809.18913
64 Market Lane,Full-Time,Own,2,36,45504.68746
118 College Crescent,Part-Time,Own,2,26,26084.79268
40 High Street,Full-Time,Own,2,31,41811.25065
20 Dean’s View,Full-Time,Own,4,36,55434.75455
143 Cathedral Row,Part-Time,Own,6,40,32579.56641
167 Bridge Street,Full-Time,Own,6,55,55349.60433
125 Cedar Crescent,Full-Time,Rent,5,44,43240.44601
70 Oak Lane,Full-Time,Own,4,38,43834.93096
145 Pillory Hill,Part-Time,Own,1,33,24455.06835
7 Bluebell View,Full-Time,Rent,4,41,47864.8105
35 Academic Crescent,Retired,Own,1,43,25545.66777
190 College Crescent,Part-Time,Rent,6,47,28993.76968
120 Lab Street,Retired,Own,1,55,24853.26214
144 Primrose Avenue,Part-Time,Own,4,58,30733.01706
162 Campus Avenue,Full-Time,Rent,4,43,44218.01466
140 Library Lane,Retired,Own,1,52,28424.59775
38 Sycamore Way,Part-Time,Own,6,25,27196.14393
137 Magnolia Row,Part-Time,Rent,4,49,35978.22423
13 Old Forge Lane,Full-Time,Own,6,39,59498.69272
183 Chapel Walk,Full-Time,Own,1,43,46235.0622
188 Rosehip Road,Full-Time,Rent,1,45,50587.7845
119 Alumni Grove,Full-Time,Rent,6,58,58548.45342
121 Freshers Row,Unemployed,Rent,4,42,10227.61658
196 Grand Arcade,Full-Time,Own,6,30,55650.94239
103 Old Forge Lane,Full-Time,Own,4,35,49326.43324
177 Dean’s View,Unemployed,Rent,1,48,9881.682444
118 Library Lane,Full-Time,Own,1,29,47428.23694
78 Market Lane,Full-Time,Own,6,33,49706.80215
9 Maple Drive,Full-Time,Own,4,54,41140.95961
55 Rosehip Road,Part-Time,Own,4,35,35619.01193
83 Chestnut Mews,Full-Time,Own,5,36,56993.53639
14 High Street,Retired,Rent,2,44,28500.64584
14 Queen Avenue,Part-Time,Own,6,25,32146.79448
74 Clock Tower Road,Part-Time,Rent,1,56,26315.6911
158 Birch Grove,Retired,Rent,1,40,22137.87647
196 Sycamore Way,Full-Time,Rent,1,34,41757.76759
16 Horizon Close,Part-Time,Own,3,33,33378.58122
140 Albert Walk,Full-Time,Rent,6,45,57934.91458
4 Parliament Street,Full-Time,Own,6,59,52322.07706
125 Seminar Terrace,Retired,Own,1,57,28498.69
93 Butcher’s Row,Part-Time,Own,1,52,34870.3017
134 Graduation Way,Unemployed,Rent,2,51,8586.963916
139 Merchant Street,Retired,Own,2,43,23863.0151
6 Cross Keys Way,Full-Time,Own,4,50,42774.91215
84 Bridge Street,Part-Time,Own,6,49,29629.93752
142 Blossom Rise,Retired,Own,1,25,27100.47807
112 Heritage Close,Full-Time,Rent,3,52,53397.95472
142 Cathedral Row,Full-Time,Rent,3,54,59778.35962
4 Butcher’s Row,Full-Time,Own,6,28,44522.28807
62 Pillory Hill,Full-Time,Own,2,59,43097.26323
47 Chestnut Mews,Full-Time,Rent,6,28,54553.90403
5 Mill Street,Full-Time,Rent,3,29,54058.13232
154 Lecture Hall Lane,Full-Time,Own,6,28,42704.01489
164 Exam Square,Full-Time,Rent,1,43,56355.21858
21 Dahlia Court,Full-Time,Rent,5,52,46859.94126
95 Blossom Rise,Full-Time,Own,4,47,49422.60165
169 Freshers Row,Full-Time,Rent,6,26,53736.82879
110 Magnolia Row,Full-Time,Rent,2,52,52146.7141
197 Manor Row,Full-Time,Rent,2,35,53350.27001
106 Queen Avenue,Full-Time,Rent,4,54,42293.61138
150 Poppy Crescent,Full-Time,Own,4,46,45761.11418
155 Chancellor Road,Full-Time,Rent,1,41,56245.63198
71 Varsity Place,Unemployed,Rent,2,48,11720.51861
119 Study Mews,Unemployed,Rent,6,46,9654.207547
141 Bridge Street,Retired,Own,1,37,29622.12074
41 Lab Street,Full-Time,Own,3,50,58629.38992
168 Bridge Street,Full-Time,Rent,2,43,57018.58418
157 Birch Grove,Full-Time,Rent,1,43,50615.60231
90 Oak Lane,Full-Time,Own,2,55,44255.22386
93 Chancellor Road,Unemployed,Rent,2,41,9017.174107
43 Chestnut Mews,Full-Time,Own,6,50,43223.82421
119 Pillory Hill,Part-Time,Rent,4,32,34180.40121
91 Queen Avenue,Full-Time,Own,3,36,40127.74403
18 Exam Square,Full-Time,Rent,6,50,45337.25628
41 Study Mews,Full-Time,Rent,5,40,52107.54555
53 Exam Square,Full-Time,Own,6,57,59717.55665
180 Lab Street,Unemployed,Rent,4,41,9191.867262
71 Chapel Walk,Part-Time,Own,6,29,26526.85852
51 Heritage Close,Full-Time,Own,3,28,41507.97938
199 Graduation Way,Part-Time,Rent,6,27,27408.75722
50 Butcher’s Row,Part-Time,Own,3,25,33921.58477
40 Seminar Terrace,Unemployed,Rent,6,32,8524.182993
186 Clock Tower Road,Full-Time,Rent,5,43,42969.2421
72 Graduation Way,Unemployed,Rent,2,50,8571.112062
101 Rosehip Road,Retired,Rent,2,25,21163.52247
29 Friar’s Court,Full-Time,Own,5,41,49060.02768
143 Graduation Way,Retired,Own,1,52,28275.65393
171 Oak Lane,Part-Time,Rent,4,38,29515.00422
61 Lab Street,Unemployed,Rent,3,46,10175.9662
60 The Green,Full-Time,Own,6,35,51436.9235
20 Blossom Rise,Part-Time,Own,5,42,28624.56347
17 The Old Yard,Full-Time,Rent,3,28,46782.6734
140 Old Forge Lane,Part-Time,Rent,6,39,28202.44325
135 Campus Avenue,Full-Time,Own,3,55,42339.86734
126 Dahlia Court,Part-Time,Rent,1,54,34352.6435
43 Magnolia Row,Part-Time,Own,6,38,31038.78147
120 Study Mews,Unemployed,Rent,4,38,11314.39205
179 Lab Street,Unemployed,Rent,2,45,9908.975359
136 Professor’s Close,Unemployed,Rent,3,41,10573.87996
107 The Green,Full-Time,Rent,1,27,58389.72248
175 Blossom Rise,Retired,Rent,1,44,27488.14943
71 Crown Street,Part-Time,Own,2,59,28209.41972
190 Academic Crescent,Full-Time,Rent,4,54,46567.52561
16 Library Lane,Full-Time,Rent,4,58,45448.76373
162 Union Street,Retired,Own,2,30,24759.31194
65 Exchange Place,Part-Time,Own,5,56,35041.24053
180 Academic Crescent,Full-Time,Rent,3,33,40353.56415
133 Horizon Close,Full-Time,Own,2,57,55213.02315
166 Grand Arcade,Full-Time,Own,5,27,47048.75903
13 Castle Lane,Retired,Own,2,51,28101.10712
67 Poppy Crescent,Full-Time,Own,4,56,48677.1954
158 Seminar Terrace,Full-Time,Own,6,33,54441.52358
13 Library Lane,Unemployed,Rent,2,48,11351.47532
171 Rosehip Road,Full-Time,Rent,2,25,49406.29791
90 Rosehip Road,Full-Time,Rent,3,41,54644.25741
96 Professor’s Close,Unemployed,Rent,1,40,8273.545112
21 Chancellor Road,Retired,Own,1,33,22979.12391
81 Campus Avenue,Full-Time,Own,3,49,46447.32256
19 Campus Avenue,Unemployed,Rent,5,40,9902.310079
76 Crown Street,Full-Time,Rent,3,40,52937.0981
145 Manor Row,Full-Time,Rent,2,51,49402.74979
7 Castle View,Full-Time,Rent,4,30,56863.21601
17 Prince’s Gate,Full-Time,Own,5,29,45163.80149
149 Cross Keys Way,Full-Time,Own,2,48,42697.33076
189 High Street,Full-Time,Rent,6,48,47416.68287
189 Stable Mews,Full-Time,Rent,4,42,44849.47973
164 Queen Avenue,Part-Time,Rent,4,29,31121.77554
77 Sycamore Way,Part-Time,Rent,5,28,30843.53514
179 Faculty Court,Unemployed,Rent,3,59,10947.29985
7 Town Gate,Full-Time,Own,5,46,55721.01259
78 Market Cross Road,Full-Time,Own,5,29,42838.20861
189 Juniper Walk,Full-Time,Own,6,59,46889.88826
60 Exam Square,Full-Time,Own,5,30,41573.88666
104 Scholar’s Walk,Unemployed,Rent,6,37,10718.89299
115 Research Boulevard,Full-Time,Rent,4,28,56028.38552
159 Abbey Lane,Retired,Rent,2,57,29614.81718
52 Chestnut Mews,Full-Time,Own,6,58,59140.18696
21 Butcher’s Row,Full-Time,Own,1,33,52636.19725
46 Chancellor Road,Full-Time,Rent,4,39,54786.64645
43 Blossom Rise,Full-Time,Own,5,44,44174.07803
13 Cedar Crescent,Part-Time,Rent,6,39,30995.78061
57 Maple Drive,Full-Time,Rent,4,25,46616.63323
37 Parliament Street,Part-Time,Own,2,34,25308.45336
41 Old Forge Lane,Full-Time,Own,3,34,49811.03564
173 Graduation Way,Unemployed,Rent,1,29,9684.328348
93 Crown Street,Full-Time,Rent,3,41,41383.75813
172 Union Street,Full-Time,Rent,2,37,59087.89355
10 Clock Tower Road,Full-Time,Own,1,28,59128.76394
173 Lavender Park,Full-Time,Own,4,44,51175.11351
75 Grand Arcade,Part-Time,Own,1,39,35332.62879
18 Graduation Way,Unemployed,Rent,5,59,9032.815561
179 Butcher’s Row,Part-Time,Rent,2,47,33498.14081
8 Primrose Avenue,Retired,Rent,1,39,23952.90644
94 Primrose Avenue,Full-Time,Rent,2,39,46049.84189
91 Lecture Hall Lane,Full-Time,Own,4,52,53891.48674
175 Cross Keys Way,Retired,Own,2,52,24737.69553
105 Castle View,Retired,Own,2,36,23785.36258
107 Scholar’s Walk,Part-Time,Own,2,49,33333.53837
32 Maple Drive,Full-Time,Own,2,56,44785.42887
101 Campus Avenue,Full-Time,Own,4,29,53763.49868
70 Scholar’s Walk,Full-Time,Own,3,55,47752.2052
61 Graduation Way,Unemployed,Rent,5,55,9045.268141
82 Lecture Hall Lane,Full-Time,Own,5,52,58620.76404
160 Castle View,Part-Time,Own,2,37,26974.84755
87 Academic Crescent,Full-Time,Rent,6,53,47736.6783
151 College Road,Unemployed,Rent,1,52,10484.36649
170 Cedar Crescent,Full-Time,Own,6,37,41221.77815
145 Butcher’s Row,Retired,Rent,1,43,21021.44322
18 Alumni Grove,Unemployed,Rent,4,41,10515.7626
48 Varsity Place,Full-Time,Own,6,38,51823.83884
167 School House Lane,Full-Time,Own,3,39,52053.31279
14 Sycamore Way,Full-Time,Rent,1,55,51863.70518
12 Campus Avenue,Full-Time,Own,1,44,56692.97285
132 Willow Heights,Retired,Rent,2,27,23303.99851
10 Albert Walk,Full-Time,Rent,3,54,43511.81638
69 Research Boulevard,Unemployed,Rent,4,32,11589.70697
176 Castle View,Full-Time,Own,1,48,51189.53889
79 Lecture Hall Lane,Full-Time,Own,4,45,55779.34687
190 Lab Street,Full-Time,Rent,4,52,43838.99442
68 Friar’s Court,Part-Time,Rent,3,47,29564.38529
5 George Square,Full-Time,Own,4,32,42364.62066
95 Scholar’s Walk,Full-Time,Rent,2,33,41978.35947
33 Church Road,Full-Time,Rent,4,38,49084.10093
56 Dahlia Court,Full-Time,Rent,2,44,51901.67009
48 Parliament Street,Full-Time,Rent,1,55,58551.17118
133 Library Lane,Unemployed,Rent,6,36,8195.318133
34 Horizon Close,Part-Time,Own,2,43,28471.70062
147 Lab Street,Full-Time,Rent,1,48,54792.82163
180 Study Mews,Full-Time,Rent,6,32,46079.46815
152 College Crescent,Full-Time,Own,2,46,55058.53668
142 Poppy Crescent,Part-Time,Own,2,52,35405.13521
121 Graduation Way,Unemployed,Rent,1,52,10354.14868
70 Study Mews,Unemployed,Rent,3,44,9002.662822
113 Seminar Terrace,Unemployed,Rent,4,59,10380.54482
143 Manor Row,Full-Time,Own,2,47,46066.25081
42 Butcher’s Row,Retired,Own,2,51,21693.82376
95 Crown Street,Full-Time,Rent,3,30,55852.83628
9 Faculty Court,Unemployed,Rent,6,42,10651.62402
59 King Street,Full-Time,Own,4,56,57000.21969
52 Station Road,Full-Time,Rent,3,59,57440.6046
91 Rosehip Road,Full-Time,Own,3,43,47132.96732
77 Dean’s View,Full-Time,Own,1,49,42250.49791
16 Old Forge Lane,Full-Time,Own,5,33,49429.82283
189 Silverleaf Way,Full-Time,Rent,4,25,47090.62073
180 Silverleaf Way,Part-Time,Own,3,30,31599.58285
39 Silverleaf Way,Part-Time,Rent,1,42,34115.73816
38 Juniper Walk,Full-Time,Rent,4,40,52230.63057
111 Sycamore Way,Full-Time,Own,1,35,40215.51418
21 Campus Avenue,Unemployed,Rent,4,42,10413.70085
20 Sycamore Way,Full-Time,Own,3,46,42582.03668
87 Alumni Grove,Full-Time,Own,2,37,46333.69776
111 George Square,Retired,Rent,1,33,22402.93149
156 College Crescent,Full-Time,Own,6,57,50056.74689
195 Graduation Way,Full-Time,Own,6,30,55745.27195
76 Cross Keys Way,Part-Time,Rent,5,53,24457.94324
10 Union Street,Unemployed,Rent,6,55,8230.926494
66 Lecture Hall Lane,Full-Time,Own,2,58,59181.91694
189 Library Lane,Part-Time,Own,2,42,29273.5503
133 Lavender Park,Full-Time,Rent,3,43,54804.39545
108 Station Road,Full-Time,Own,1,40,57519.80992
70 Lavender Park,Full-Time,Own,5,44,47634.78156
87 Bell Tower Street,Full-Time,Rent,2,38,50963.43353
29 Queen Avenue,Full-Time,Rent,1,28,57311.4533
25 Cathedral Row,Full-Time,Own,5,40,51990.46014
24 Chancellor Road,Unemployed,Rent,3,48,8753.590282
13 George Square,Full-Time,Own,6,57,51976.59364
107 Stable Mews,Full-Time,Rent,5,58,59324.70461
27 Cobbler’s Alley,Full-Time,Rent,6,37,59726.39244
170 Prince’s Gate,Part-Time,Own,4,42,34902.59268
11 Professor’s Close,Part-Time,Own,6,49,32663.21583
137 Pillory Hill,Part-Time,Own,3,56,34583.57721
13 Juniper Walk,Full-Time,Own,2,57,48204.66062
60 Friar’s Court,Full-Time,Rent,4,52,46834.81078
163 Professor’s Close,Unemployed,Rent,1,40,11979.83883
122 Ivy Boulevard,Part-Time,Own,2,26,34585.85356
132 George Square,Full-Time,Own,4,26,42291.70986
60 George Square,Full-Time,Own,6,37,56202.02903
98 Research Boulevard,Unemployed,Rent,6,34,8048.512199
93 Lecture Hall Lane,Full-Time,Own,3,28,48529.12229
26 Campus Avenue,Unemployed,Rent,4,53,8336.948518
124 Manor Row,Full-Time,Own,4,38,47367.77334
162 Albert Walk,Full-Time,Rent,6,55,56203.68085
88 Poppy Crescent,Full-Time,Own,6,52,43001.21201
18 Willow Heights,Full-Time,Rent,2,53,47034.65444
147 Blossom Rise,Part-Time,Rent,6,34,27064.07009
142 Campus Avenue,Unemployed,Rent,4,51,8520.096978
100 Freshers Row,Full-Time,Rent,5,25,59383.32357
77 Station Road,Full-Time,Own,6,27,48683.38635
56 Willow Heights,Full-Time,Own,2,36,40436.14471
135 Willow Heights,Retired,Own,1,50,26775.37192
95 Graduation Way,Full-Time,Own,6,52,50497.57277
196 College Road,Full-Time,Own,5,43,56396.20192
101 Horizon Close,Full-Time,Own,3,58,47273.14358
160 Horizon Close,Part-Time,Own,6,46,34925.2474
88 Professor’s Close,Unemployed,Rent,3,55,8111.533697
77 Academic Crescent,Full-Time,Own,4,53,50485.48174
49 Prince’s Gate,Full-Time,Own,5,52,49775.41631
97 High Street,Full-Time,Own,4,27,40236.06025
140 Horizon Close,Full-Time,Own,3,47,41266.59438
105 Chancellor Road,Full-Time,Rent,5,49,45755.82398
16 Albert Walk,Full-Time,Own,3,46,51495.2125
48 Alumni Grove,Unemployed,Rent,5,37,8826.125426
153 Professor’s Close,Unemployed,Rent,6,46,8735.888396
28 Freshers Row,Unemployed,Rent,2,47,8543.328633
173 Scholar’s Walk,Unemployed,Rent,4,58,11711.65495
4 Dean’s View,Full-Time,Rent,6,43,51294.21135
61 Market Lane,Full-Time,Own,6,45,44925.97752
186 Cross Keys Way,Part-Time,Rent,5,32,35654.58335
197 Prince’s Gate,Part-Time,Own,6,33,28900.349
83 Alumni Grove,Part-Time,Rent,6,49,25345.94735
151 Grand Arcade,Part-Time,Own,5,36,30132.55822
85 Butcher’s Row,Retired,Rent,2,42,24350.24469
137 Exchange Place,Part-Time,Own,1,51,31411.21674
97 Town Gate,Full-Time,Rent,2,43,53981.91517
159 Scholar’s Walk,Full-Time,Own,5,29,46919.96517
64 Birch Grove,Full-Time,Own,6,55,43423.69764
1 Butcher’s Row,Part-Time,Own,6,35,28962.74421
192 Lab Street,Full-Time,Rent,1,34,50097.86073
196 Willow Heights,Full-Time,Own,6,36,49326.34468
58 Cross Keys Way,Retired,Own,1,31,20338.49512
28 Willow Heights,Full-Time,Rent,4,58,55885.13074
25 Merchant Street,Full-Time,Own,1,52,46863.34338
19 Lab Street,Full-Time,Own,3,40,45858.47437
19 Study Mews,Unemployed,Rent,6,45,8853.693995
192 Library Lane,Unemployed,Rent,5,52,10331.50962
72 Lab Street,Part-Time,Rent,1,42,31068.97857
175 Stable Mews,Full-Time,Own,2,50,48617.39918
193 Cathedral Row,Retired,Rent,2,56,26726.69078
93 Primrose Avenue,Full-Time,Own,6,34,40763.58862
29 Dean’s View,Full-Time,Own,2,25,56049.30898
49 Freshers Row,Full-Time,Own,2,52,45124.24719
14 Church Road,Full-Time,Rent,4,25,49373.07429
15 Church Road,Full-Time,Rent,2,47,54900.58276
140 Stable Mews,Retired,Own,2,38,21741.13165
25 Union Street,Full-Time,Own,5,32,58055.74137
94 Seminar Terrace,Unemployed,Rent,2,31,8542.947353
105 Lecture Hall Lane,Unemployed,Rent,6,34,11251.15225
21 Seminar Terrace,Full-Time,Rent,5,53,47973.88362
77 Heritage Close,Retired,Rent,1,41,21641.50581
165 Chancellor Road,Part-Time,Own,6,45,34434.43675
81 Oak Lane,Part-Time,Own,4,36,32788.04318
123 Bluebell View,Full-Time,Rent,2,51,44592.37037
28 Exchange Place,Part-Time,Rent,6,25,31982.67591
60 Union Street,Full-Time,Own,1,37,43118.95948
33 Pillory Hill,Full-Time,Own,2,53,59510.42557
125 Butcher’s Row,Full-Time,Rent,6,33,50971.2399
152 Library Lane,Full-Time,Own,5,29,43007.95169
118 Varsity Place,Unemployed,Rent,2,38,8264.474274
104 Stable Mews,Part-Time,Own,6,48,31551.14373
173 Lab Street,Full-Time,Rent,3,42,52892.71062
15 Varsity Place,Unemployed,Rent,1,37,11915.70428
123 Bell Tower Street,Full-Time,Own,6,57,49934.56396
93 The Green,Full-Time,Own,3,36,46783.13954
190 Professor’s Close,Full-Time,Rent,2,45,54202.16534
52 Library Lane,Unemployed,Rent,5,55,11209.20198
153 Research Boulevard,Part-Time,Own,1,56,32237.6484
169 Faculty Court,Full-Time,Own,6,58,54866.36593
28 Library Lane,Full-Time,Own,1,37,53846.17359
143 Market Cross Road,Full-Time,Own,5,53,43475.57477
61 Research Boulevard,Unemployed,Rent,1,54,11242.43739
142 Queen Avenue,Retired,Own,1,54,26256.61121
155 Bridge Street,Part-Time,Rent,5,33,28698.28732
37 The Green,Full-Time,Own,6,30,53262.03482
97 Horizon Close,Full-Time,Rent,3,28,56934.8269
132 Market Cross Road,Retired,Rent,2,39,28622.49884
174 Queen Avenue,Retired,Own,1,35,23338.10402
110 Bridge Street,Retired,Own,1,55,21180.69422
18 Lab Street,Part-Time,Own,6,52,26679.19194
134 Seminar Terrace,Unemployed,Rent,3,54,10066.06805
197 Chancellor Road,Unemployed,Rent,2,39,9977.102445
59 Maple Drive,Full-Time,Own,6,25,46066.64137
164 Library Lane,Unemployed,Rent,3,36,8302.705387
63 Study Mews,Retired,Rent,1,54,23009.86191
28 Lab Street,Unemployed,Rent,2,29,10767.59448
54 Clock Tower Road,Part-Time,Rent,4,49,31463.86999
8 High Street,Full-Time,Own,2,48,45532.50178
160 Graduation Way,Unemployed,Rent,6,47,11087.67907
91 Library Lane,Full-Time,Own,3,55,59180.06525
92 Chancellor Road,Full-Time,Own,6,51,45051.17968
136 Ivy Boulevard,Full-Time,Own,1,43,55733.48514
11 Cobbler’s Alley,Full-Time,Own,6,36,55728.75367
190 Alumni Grove,Full-Time,Own,2,47,50688.74829
149 Maple Drive,Full-Time,Own,5,42,40200.54886
163 Graduation Way,Full-Time,Own,2,36,45885.23679
58 Town Gate,Part-Time,Own,4,45,24469.38845
124 Graduation Way,Part-Time,Rent,6,43,28903.73257
98 Dean’s View,Unemployed,Rent,6,41,10276.02729
71 Library Lane,Part-Time,Own,6,33,29252.31742
155 Study Mews,Unemployed,Rent,2,30,10775.88136
137 Victoria Parade,Full-Time,Rent,2,44,44702.36879
52 Sycamore Way,Full-Time,Rent,6,32,41560.75808
37 Sycamore Way,Full-Time,Own,2,42,43378.66348
65 Freshers Row,Unemployed,Rent,1,46,9069.33519
15 High Street,Part-Time,Own,3,42,26919.48904
109 Library Lane,Unemployed,Rent,2,44,11592.40982
87 King Street,Full-Time,Own,5,25,47130.80641
58 Maple Drive,Full-Time,Rent,5,54,41687.59049
178 Academic Crescent,Full-Time,Rent,5,46,56399.50636
76 Lab Street,Full-Time,Rent,2,33,40323.32248
107 Exam Square,Full-Time,Own,2,53,50310.58324
168 Chestnut Mews,Retired,Rent,2,42,28090.53214
157 King Street,Part-Time,Rent,3,52,30797.29966
177 Academic Crescent,Part-Time,Own,2,33,35161.95524
54 Primrose Avenue,Part-Time,Rent,2,30,24359.8081
154 Sycamore Way,Full-Time,Own,5,46,58836.08278
20 Chestnut Mews,Retired,Own,1,26,27497.13071
99 Silverleaf Way,Retired,Own,1,31,23275.55263
3 Dean’s View,Unemployed,Rent,1,56,10510.64482
98 Clock Tower Road,Full-Time,Rent,4,56,51239.66398
26 Freshers Row,Unemployed,Rent,6,48,11641.87255
51 Ivy Boulevard,Full-Time,Own,3,32,48256.14313
187 Albert Walk,Part-Time,Rent,1,55,25193.78378
132 Alumni Grove,Full-Time,Rent,5,44,41373.88054
114 Grand Arcade,Full-Time,Own,4,32,48273.14353
64 King Street,Retired,Rent,1,31,29856.86992
34 Market Cross Road,Retired,Own,2,53,26188.93436
186 Crown Street,Retired,Own,2,58,27418.08435
26 Prince’s Gate,Full-Time,Own,1,46,59250.03895
166 Lavender Park,Full-Time,Own,1,30,53262.51689
70 Magnolia Row,Retired,Rent,2,36,26019.51541
89 Chapel Walk,Full-Time,Own,4,52,43768.85575
175 Freshers Row,Part-Time,Own,2,50,27474.79925
127 Friar’s Court,Full-Time,Rent,5,33,57598.53711
102 Parliament Street,Full-Time,Rent,2,51,50154.90397
194 Study Mews,Unemployed,Rent,4,52,11454.5753
56 Lecture Hall Lane,Part-Time,Own,5,58,30072.0608
68 Horizon Close,Full-Time,Own,2,56,46305.73084
130 Grand Arcade,Full-Time,Own,2,34,45609.77786
